Nomer,IDKostumer,Nama,NilaiKredit,Provinsi,JenisKelamin,Umur,tenor,saldo,jumlahProduk,PunyaKartuKredit,NasabahAktif,PerkiraanPendapatan,TutupRekening
2669,15582325,SIGIT ADI CAHYONO,524,DKI Jakarta,Laki-Laki,52,2,8789426000,1,1,0,17389942000,1
2670,15693947,ROHANI,614,DKI Jakarta,Perempuan,19,5,9744549000,2,1,0,12282334000,0
2671,15760446,SUJINAH,598,DKI Jakarta,Perempuan,64,9,0,1,0,1,1318137000,1
2672,15611105,IBROHIM SANDYHI,799,Jawa Barat,Laki-Laki,35,7,0,2,0,1,1407808000,0
2673,15630920,ISABELLA KHAIRUNISA,724,DKI Jakarta,Perempuan,34,2,15448574000,2,0,0,7856064000,0
2674,15574910,AGUS MULYAWAN,601,DKI Jakarta,Laki-Laki,50,2,11562507000,1,1,0,18585521000,0
2675,15756472,DICKY PRATAMA,804,DKI Jakarta,Laki-Laki,25,7,10839667000,1,1,0,12827695000,0
2676,15682890,MUHAMAD REZHI,745,Jawa Tengah,Laki-Laki,38,5,6509541000,2,1,1,14019742000,0
2677,15641994,AHMAD FIRGIE HILYANSYAH,667,Jawa Tengah,Laki-Laki,43,1,10301845000,1,1,0,3246239000,1
2678,15733297,RIJANTI,518,DKI Jakarta,Perempuan,38,10,8476479000,1,1,1,1622539000,0
2679,15767793,MANSYUR,819,DKI Jakarta,Laki-Laki,38,10,0,2,1,0,304987000,0
2680,15725698,BETA CHIKITA MARDIANI,520,Jawa Barat,Perempuan,35,4,11568081000,1,1,1,902807000,0
2681,15813532,AYU CAMYLLIA NUR IKHWAN,625,DKI Jakarta,Perempuan,39,5,0,2,1,0,3261521000,0
2682,15576760,ANGGA SAPUTRA,673,Jawa Tengah,Laki-Laki,36,5,7308806000,2,0,0,19614226000,0
2683,15732102,YANTI,656,Jawa Tengah,Perempuan,27,3,15090503000,2,1,0,1699872000,0
2684,15739046,SUMADI,850,Jawa Barat,Laki-Laki,23,9,14305485000,1,0,1,6298096000,0
2685,15631927,MERLIA,574,Jawa Barat,Perempuan,28,7,0,2,0,0,1856603000,0
2686,15672115,CEZIA MAZIMERD ROULY,679,DKI Jakarta,Perempuan,60,6,0,2,1,1,7733177000,0
2687,15618765,NUR KHOLIFAH B KARSO,530,Jawa Tengah,Perempuan,42,0,9994845000,1,0,1,9733862000,0
2688,15679148,LEO CRYS CANPIO,508,DKI Jakarta,Laki-Laki,44,3,11545105000,2,0,0,6723433000,0
2689,15728474,OLGA NOVIYANTI WINATA,558,Jawa Tengah,Perempuan,32,4,10823591000,1,1,1,14378328000,0
2690,15636999,JEFRI ADRIAN AFIF,414,DKI Jakarta,Laki-Laki,38,8,0,1,0,1,7766112000,1
2691,15754261,DEBORA RUTH MAHIU,648,Jawa Barat,Perempuan,42,2,9879561000,2,1,0,8912399000,0
2692,15629150,SYAPNIDAR,721,DKI Jakarta,Perempuan,37,1,0,2,1,0,708108000,0
2693,15736274,MUHAMAD HAMDANI,751,DKI Jakarta,Laki-Laki,31,8,0,2,0,0,1755049000,0
2694,15627697,RICKY PRABOWO,662,DKI Jakarta,Laki-Laki,34,2,0,2,0,1,2149727000,0
2695,15721585,MUHAMAD NUR,628,Jawa Tengah,Laki-Laki,29,3,11314698000,2,0,1,12474908000,0
2696,15639946,AHMAD TAUFIK,597,Jawa Tengah,Laki-Laki,39,8,16253214000,3,1,0,3605146000,1
2697,15792176,MURNI DJUNAEDI,698,Jawa Barat,Perempuan,40,0,9205344000,1,1,1,14368183000,0
2698,15699450,HAYUNISSA AUGUSTINE,723,DKI Jakarta,Perempuan,48,7,0,2,1,1,15069458000,0
2699,15729954,RIZKY ADITIA RAHMAN,586,DKI Jakarta,Laki-Laki,28,5,0,3,1,0,1704874000,1
2700,15600103,MARTA R  SIMANJUNTAK,633,Jawa Tengah,Perempuan,29,8,1049441000,1,1,1,9768446000,0
2701,15786200,MAULANA MALIK IBRAHIM,564,DKI Jakarta,Laki-Laki,31,4,0,2,1,0,5352003000,0
2702,15797010,MUARSIFIN,649,DKI Jakarta,Laki-Laki,31,2,0,2,1,0,1520061000,0
2703,15670172,JUMBROH,622,DKI Jakarta,Perempuan,30,4,10787904000,1,0,1,19689462000,0
2704,15627352,TH YUNIAWATI K,459,Jawa Tengah,Perempuan,46,7,11035642000,1,1,0,496913000,1
2705,15622494,SYAFIIH,718,DKI Jakarta,Laki-Laki,27,2,0,2,0,0,2622924000,0
2706,15585835,LILI SUHERLI,655,Jawa Barat,Laki-Laki,34,4,10978369000,2,1,0,13403432000,0
2707,15595071,HERU,696,DKI Jakarta,Laki-Laki,22,9,149777000,1,1,1,19803293000,0
2708,15628203,AGUS,637,DKI Jakarta,Laki-Laki,38,3,10433956000,1,0,0,11988286000,0
2709,15667190,ROFIATIN,630,Jawa Barat,Perempuan,21,1,8581818000,1,1,1,1331023000,0
2710,15780212,IKA MARLINA,592,DKI Jakarta,Perempuan,37,4,21269297000,1,0,0,17639502000,0
2711,15766869,ROBIJANTO SUGIHARTO,634,Jawa Tengah,Laki-Laki,37,1,8969684000,2,1,1,19317988000,0
2712,15775741,NURAINI,608,DKI Jakarta,Perempuan,28,9,0,2,1,1,12506202000,0
2713,15628170,AMIRUDIN,565,Jawa Tengah,Laki-Laki,32,9,6806724000,1,1,0,14328758000,0
2714,15701318,MUSRIADI,763,Jawa Barat,Laki-Laki,67,9,14856466000,1,0,1,872364000,0
2715,15710928,JEFFALINO RAGUSTA,665,DKI Jakarta,Laki-Laki,55,8,13635416000,1,1,1,9376989000,0
2716,15682547,KASIM,649,DKI Jakarta,Laki-Laki,38,1,122214000,1,0,1,8896546000,0
2717,15631170,TA'ANERANERA DAKHI,695,DKI Jakarta,Laki-Laki,45,3,0,2,1,1,3079361000,0
2718,15648702,SA'ANAH,775,Jawa Tengah,Perempuan,70,6,11968488000,2,1,1,7453202000,0
2719,15783444,DIANA WULAN SARI,788,DKI Jakarta,Perempuan,39,3,13513933000,1,0,1,11308608000,0
2720,15809178,WINDARTO,569,Jawa Tengah,Laki-Laki,42,9,14610075000,1,1,0,3257401000,1
2721,15806688,SUBAGYO RISWONO,726,Jawa Barat,Laki-Laki,56,8,1231109000,3,0,1,13011378000,1
2722,15576824,NURHASANAH,564,Jawa Tengah,Perempuan,44,3,1117604000,3,1,1,10472247000,1
2723,15675422,HELLY,544,DKI Jakarta,Perempuan,32,9,11072839000,1,1,1,1455962000,0
2724,15681550,ADIAS EKAGRANA,614,DKI Jakarta,Perempuan,41,8,12155846000,1,1,1,5988000,0
2725,15812628,TRI YARDI S T P ,453,Jawa Tengah,Laki-Laki,38,8,12062321000,1,1,0,12969799000,0
2726,15597951,DEDI RAY COSTA SIPAYUNG,471,DKI Jakarta,Laki-Laki,58,4,11471357000,1,1,1,3631503000,0
2727,15807045,SYARIFUL ANWAR,829,Jawa Tengah,Laki-Laki,37,3,10345776000,1,0,0,111412000,0
2728,15581748,SORAYAH AMD,754,Jawa Tengah,Perempuan,57,2,10113487000,2,1,1,7095441000,0
2729,15770420,SITI MULYA,749,Jawa Tengah,Perempuan,46,10,7813636000,2,1,1,7347098000,0
2730,15608230,ALFREDO HENDY SETIAWAN,667,DKI Jakarta,Laki-Laki,23,1,0,2,1,0,9157319000,0
2731,15730339,LINAWATI,670,Jawa Barat,Perempuan,30,3,13344634000,1,0,0,315495000,0
2732,15712584,FITRA FATAHILLAH RIFAI,670,DKI Jakarta,Laki-Laki,33,7,0,2,1,1,8818781000,0
2733,15592816,RITA MARLINA SIAGIAN,623,Jawa Tengah,Perempuan,48,1,10807633000,1,1,0,11885526000,1
2734,15641480,STEPHANUS GUNAWAN,571,DKI Jakarta,Laki-Laki,32,5,13135425000,1,1,0,12525653000,0
2735,15708505,PUJI UTAMI,641,Jawa Tengah,Perempuan,37,7,6297464000,2,0,1,3901643000,0
2736,15791131,HERMAN SUSANTO,551,Jawa Tengah,Laki-Laki,30,2,14334044000,1,1,0,14579649000,0
2737,15618225,YUDI PEDRI,741,Jawa Tengah,Laki-Laki,36,8,11699343000,2,1,0,16881622000,0
2738,15644724,RANI NURHASANAH,472,DKI Jakarta,Perempuan,31,4,5866292000,2,0,1,73322000,0
2739,15662098,NURMAH,650,Jawa Barat,Perempuan,41,3,12880865000,3,0,0,11367753000,1
2740,15723894,IR DJASMAN,625,DKI Jakarta,Laki-Laki,45,7,13755544000,1,0,0,1246077000,0
2741,15787699,WIRAWAN WAHYU SUSENO,650,Jawa Tengah,Laki-Laki,34,4,14239311000,1,1,1,1127648000,0
2742,15687738,SUYATMI MARTHA,535,DKI Jakarta,Perempuan,38,8,0,2,1,0,13662064000,0
2743,15576126,HANAFI,649,DKI Jakarta,Laki-Laki,41,2,12578523000,1,1,1,7052392000,0
2744,15658889,CORNELIUS ADITYA WIBOWO,689,DKI Jakarta,Laki-Laki,22,4,13644425000,1,1,0,5198025000,1
2745,15667046,AYUB SUHENDAR,694,Jawa Barat,Laki-Laki,38,7,1215274000,1,1,0,11348102000,0
2746,15669957,LELIWATI,655,Jawa Tengah,Perempuan,52,9,14469675000,1,1,1,4902579000,0
2747,15655794,HASANUDDIN,620,DKI Jakarta,Laki-Laki,36,8,0,2,1,1,14593799000,0
2748,15599829,MIMIN MUMINAH,577,DKI Jakarta,Perempuan,35,10,0,2,1,1,2516161000,0
2749,15753332,ELVIANA,401,Jawa Tengah,Perempuan,48,8,12814017000,1,1,0,17575355000,1
2750,15671124,ANDRI,599,DKI Jakarta,Laki-Laki,25,6,12038341000,1,1,1,2490309000,0
2751,15767474,ZULPIKAR,481,DKI Jakarta,Laki-Laki,57,9,0,3,1,1,16971935000,1
2752,15720671,HASBIH,704,DKI Jakarta,Laki-Laki,42,8,1297353000,2,1,1,17956557000,0
2753,15626787,MUNAROH,698,Jawa Barat,Perempuan,31,8,18507826000,1,0,0,11533774000,1
2754,15774491,ROSDIANA CINDRA MATA,480,DKI Jakarta,Perempuan,28,6,0,2,0,0,4813192000,0
2755,15579647,SAIFUL ANWAR,682,DKI Jakarta,Laki-Laki,42,0,0,1,1,1,16082898000,0
2756,15625522,SYARIFAH MAISARAH,700,Jawa Barat,Perempuan,31,7,0,2,0,1,14515196000,0
2757,15765806,SUPRAPTI,492,DKI Jakarta,Perempuan,29,1,14459196000,1,1,1,19629376000,0
2758,15566708,HARI NOVIAR,444,DKI Jakarta,Laki-Laki,45,4,0,2,1,0,1616535000,1
2759,15668347,ZEIN AFKAR EL FARUQI NUGROHO,624,DKI Jakarta,Laki-Laki,36,6,0,2,0,0,8463564000,0
2760,15575214,NANDA OLIVIA DANIEL,709,DKI Jakarta,Perempuan,37,7,0,1,1,0,15948676000,0
2761,15591123,FEMMY ELFIRA TENGKER,557,Jawa Tengah,Perempuan,68,2,10019444000,1,1,1,3859634000,0
2762,15573280,LISTYOWATI SURYANINGSIH,646,Jawa Tengah,Perempuan,50,6,14529531000,2,1,1,2781474000,0
2763,15589018,SRI WAHYUNI,719,Jawa Tengah,Perempuan,28,3,10607029000,2,1,1,18389331000,0
2764,15654495,EVI HANIFAH,706,Jawa Tengah,Perempuan,47,6,12062189000,1,1,1,1408037000,0
2765,15597265,AMENAH,660,DKI Jakarta,Perempuan,38,7,0,2,0,1,14658553000,0
2766,15733876,SUN LIONG,667,DKI Jakarta,Laki-Laki,36,9,0,2,1,1,4006229000,0
2767,15677217,HJ SOFIA,705,DKI Jakarta,Perempuan,30,1,0,1,1,1,18130032000,0
2768,15747265,HHOE AIREEN DEVIANI,598,Jawa Tengah,Perempuan,27,10,17128391000,1,1,1,8413612000,0
2769,15713379,BUDIMAN,669,DKI Jakarta,Laki-Laki,26,4,0,2,1,1,19759434000,0
2770,15730433,ULFA FAUZIAH,580,Jawa Tengah,Perempuan,38,1,12821847000,1,1,0,12595383000,1
2771,15693347,HERLYS SIHOMBING,676,DKI Jakarta,Perempuan,32,5,0,2,1,1,7546541000,0
2772,15715465,NOFRI YANTI,714,Jawa Tengah,Perempuan,28,7,7777639000,1,1,0,17773707000,0
2773,15680736,LO HARDI LUKMAN,597,Jawa Tengah,Laki-Laki,72,6,12497819000,2,1,1,714446000,0
2774,15610765,HERLINA SUJANTO,559,DKI Jakarta,Perempuan,29,1,0,2,0,0,15563976000,0
2775,15650034,E SUTINAH,564,DKI Jakarta,Perempuan,28,1,0,1,1,1,16242805000,0
2776,15782468,DEWI NURHAYANI,850,Jawa Barat,Perempuan,51,3,10979955000,2,1,1,1245776000,1
2777,15685109,MAULINE HELENA INDRASARI SE,689,DKI Jakarta,Perempuan,39,7,0,2,0,0,1491709000,0
2778,15776233,SANUSI BSC,758,Jawa Tengah,Laki-Laki,61,8,12539721000,1,1,0,18218409000,1
2779,15761141,TRIYA KUSTIYANA,604,Jawa Barat,Laki-Laki,71,10,0,2,1,1,1299842000,0
2780,15781702,DINDA HARASHTA,733,Jawa Tengah,Perempuan,38,9,11134737000,2,0,1,19487297000,0
2781,15790235,KALISOM,778,Jawa Barat,Perempuan,40,8,10429141000,2,1,1,11750711000,0
2782,15641416,H ABDULLAH MURTHADLA,732,Jawa Tengah,Laki-Laki,61,9,9486718000,2,1,1,1575276000,1
2783,15775234,T A M I,646,DKI Jakarta,Perempuan,24,8,0,2,0,0,9261288000,0
2784,15659475,JAMAL A MARTA,597,DKI Jakarta,Laki-Laki,33,6,13570359000,2,0,0,7485084000,0
2785,15642202,FAHREZA AGAMAL,821,Jawa Tengah,Laki-Laki,37,5,10645353000,2,0,1,127413000,0
2786,15771417,TETI SUMIATI,640,DKI Jakarta,Perempuan,43,7,13241238000,1,0,0,695843000,1
2787,15585100,RENAL YORDAN,511,Jawa Tengah,Laki-Laki,40,9,1244016000,1,1,0,19881424000,1
2788,15700487,FRIDA KRISTINA ANGGRIANI,805,DKI Jakarta,Perempuan,46,6,11802206000,3,1,0,16264315000,1
2789,15726589,WIDURI TEDJO PURNOMO,540,Jawa Tengah,Perempuan,39,1,8253111000,1,1,0,11409252000,0
2790,15747503,LUKMAN SANTOSO,705,Jawa Barat,Laki-Laki,44,0,18455212000,1,1,0,688603000,1
2791,15595883,LINDAWATI TANDANY,540,Jawa Tengah,Perempuan,39,4,12727831000,1,1,1,1615034000,0
2792,15663826,RINA SUSANTI,532,Jawa Barat,Perempuan,66,3,0,1,1,1,11522702000,0
2793,15742820,NGATIMAN,535,DKI Jakarta,Laki-Laki,45,2,0,2,0,1,17062155000,0
2794,15624793,MIRA,627,Jawa Tengah,Perempuan,23,5,18424486000,1,1,0,10309922000,0
2795,15597930,SISKA YUNITA,646,DKI Jakarta,Perempuan,52,8,5966943000,1,0,0,17249581000,1
2796,15665110,RIYANTI,515,DKI Jakarta,Perempuan,25,7,7954359000,1,0,1,3877282000,0
2797,15770719,RUSTRIANA PURI,697,DKI Jakarta,Perempuan,39,6,15155319000,1,1,1,4494629000,0
2798,15731327,IR SYAFRANDS AZWAR,652,Jawa Tengah,Laki-Laki,27,2,16652788000,2,0,1,1460077000,0
2799,15576044,RUSTAM S PD I,579,Jawa Tengah,Laki-Laki,28,6,15032915000,1,1,0,14555842000,0
2800,15775662,JAYADI FATAHILLAH,760,DKI Jakarta,Laki-Laki,43,8,12191159000,1,1,0,19331233000,0
2801,15646817,NURHAYATI,769,DKI Jakarta,Perempuan,51,9,15677378000,2,1,0,4025779000,0
2802,15596060,ARIS SEPTI UTAMI,498,Jawa Barat,Perempuan,29,8,12786426000,1,1,1,466779000,0
2803,15723299,ALI BIN SOLEH,774,DKI Jakarta,Laki-Laki,53,4,11370928000,1,1,1,15388793000,1
2804,15636982,MADANIA ANSARINAWATI,705,Jawa Tengah,Perempuan,43,7,7997455000,1,1,1,10310833000,0
2805,15751175,WISNI PUTRI,648,DKI Jakarta,Perempuan,44,2,0,2,1,1,5865223000,0
2806,15618936,MARWAN HAMDI,688,DKI Jakarta,Laki-Laki,51,5,0,1,1,0,9162411000,1
2807,15787529,MUSTAMIRUDIN,592,Jawa Barat,Laki-Laki,38,0,0,1,1,0,6598648000,1
2808,15780128,AGUS PURWANTI,705,DKI Jakarta,Perempuan,33,3,14442796000,2,1,0,11384519000,0
2809,15615991,YOGA PRIANGGARA,654,DKI Jakarta,Laki-Laki,42,7,9926309000,1,1,1,676079000,0
2810,15757001,NOVIA MEIYASTI CHURCHIL,624,DKI Jakarta,Perempuan,32,2,7936887000,2,1,1,14547194000,0
2811,15595388,IVAN FEBRIAN,594,DKI Jakarta,Laki-Laki,30,10,0,2,1,1,12407171000,0
2812,15699550,SANDY,695,Jawa Barat,Laki-Laki,34,9,0,2,1,1,6750212000,0
2813,15581620,SUSANTO,597,DKI Jakarta,Laki-Laki,28,2,0,3,1,1,7870797000,0
2814,15600934,WAHYUDI,758,DKI Jakarta,Laki-Laki,52,7,12509594000,1,1,0,17118983000,1
2815,15738672,PUJI HARYANTO,737,Jawa Tengah,Laki-Laki,40,2,1624858000,2,1,0,14938132000,0
2816,15721307,DEVIBRI,694,Jawa Tengah,Laki-Laki,37,1,9566882000,2,1,0,10033555000,0
2817,15619280,MUNAWIR,683,DKI Jakarta,Laki-Laki,25,4,0,2,1,0,15269824000,0
2818,15768244,ZAENURI,538,Jawa Barat,Laki-Laki,30,8,0,2,1,1,4119295000,0
2819,15806837,RIKMANSYAH,669,DKI Jakarta,Laki-Laki,37,4,0,1,1,0,13254033000,0
2820,15643496,AMBROSIUS ANDI KOSASIH SH,730,DKI Jakarta,Laki-Laki,34,5,7419738000,2,1,0,9687552000,0
2821,15813916,SUNARTO,622,DKI Jakarta,Laki-Laki,31,1,8968894000,1,1,1,15230547000,0
2822,15626385,MARTATI,714,Jawa Barat,Perempuan,33,10,10312133000,2,1,1,4967201000,0
2823,15603582,ANGGI MUHAMAD RISKY,569,Jawa Barat,Laki-Laki,34,3,0,1,1,0,13399753000,0
2824,15764351,HASANAH,668,Jawa Tengah,Perempuan,59,5,12017007000,1,0,1,504548000,0
2825,15667938,VERONICA WAHYUNI KABALUAN,628,DKI Jakarta,Perempuan,32,9,14913631000,2,1,1,1640211000,0
2826,15576360,DIDING SARIFUDIN,600,DKI Jakarta,Laki-Laki,40,1,14113679000,1,1,1,6780383000,0
2827,15628813,ERNY SETIAWATY TAMZIL,693,DKI Jakarta,Perempuan,43,4,15234155000,1,1,0,924178000,0
2828,15584190,NOVA FRISKA TARIGAN,704,DKI Jakarta,Perempuan,36,7,12002698000,2,0,1,10060173000,0
2829,15716449,TIKA ADELINA,527,Jawa Barat,Perempuan,33,9,13216828000,1,0,0,9873415000,0
2830,15759913,NY  ANNE SIAHAAN HUTABARAT,553,Jawa Tengah,Perempuan,43,6,8520082000,2,1,1,16057409000,0
2831,15701555,AHMAD BAIDILLAH,575,Jawa Barat,Laki-Laki,53,1,8490333000,2,0,1,260158000,0
2832,15758482,INDAH PRATIWI,626,DKI Jakarta,Perempuan,32,0,0,2,0,0,18717254000,0
2833,15758171,HALIDA YULIAHTI,582,DKI Jakarta,Perempuan,20,4,0,1,1,1,5576366000,0
2834,15680346,SITI NASRIHATUN,683,Jawa Barat,Perempuan,40,8,0,1,1,0,7584822000,0
2835,15649124,GILDA SHAFIRA FEBRIANTI,850,DKI Jakarta,Perempuan,30,9,12153518000,1,0,0,4031347000,0
2836,15812917,SUNARYO,653,Jawa Barat,Laki-Laki,35,6,11666296000,2,1,1,2386421000,0
2837,15768455,L I N D A,679,DKI Jakarta,Perempuan,60,8,0,2,1,1,513809000,0
2838,15703059,HENDRIK SETIAWAN,549,Jawa Tengah,Laki-Laki,49,6,12482916000,1,0,1,9355136000,0
2839,15646196,RAMES,850,Jawa Barat,Laki-Laki,36,2,15518056000,2,0,0,16941554000,0
2840,15585451,H DIDI KARMADI,558,Jawa Tengah,Laki-Laki,32,1,10826287000,1,1,1,693531000,0
2841,15714057,MULYADI BIN RONI,528,Jawa Barat,Laki-Laki,40,4,0,2,1,0,253997000,0
2842,15748473,RICKY E HEHANUSSA,801,DKI Jakarta,Laki-Laki,38,5,0,2,1,0,6625627000,0
2843,15785782,MUHAMMAD HISYAM ASYIQIN,513,Jawa Barat,Laki-Laki,48,2,0,1,1,1,11470913000,1
2844,15693233,R I Y A N A,666,Jawa Tengah,Perempuan,38,6,9981288000,2,1,1,15835797000,0
2845,15757521,EDY SUGANDA,606,DKI Jakarta,Laki-Laki,35,2,13216426000,1,0,1,16481559000,0
2846,15812513,RITA,599,Jawa Tengah,Perempuan,45,10,10358305000,1,1,0,13212769000,1
2847,15674950,BILAL JAMAL,544,Jawa Tengah,Laki-Laki,39,4,14240643000,2,1,0,14663745000,0
2848,15678572,RICHA NATALIA ANGGINA,529,Jawa Barat,Perempuan,38,7,998425000,2,1,0,9025606000,1
2849,15713608,MULYATUL JANAH,850,DKI Jakarta,Perempuan,41,5,0,2,1,1,3482743000,0
2850,15579262,JORDI SANJAYA,497,DKI Jakarta,Laki-Laki,41,9,0,1,0,0,2207448000,0
2851,15610426,SUKIRNO,764,DKI Jakarta,Laki-Laki,39,5,8104242000,1,0,1,10980517000,0
2852,15776454,MICHAEL DJOHAN,603,DKI Jakarta,Laki-Laki,48,5,0,1,1,0,1004786000,1
2853,15771483,INDAH SETIAWATI,609,DKI Jakarta,Perempuan,40,6,0,2,1,1,9741634000,0
2854,15648489,AYANIH,487,DKI Jakarta,Perempuan,53,4,19968949000,1,1,1,2420786000,1
2855,15646609,NURJANAH,748,DKI Jakarta,Perempuan,33,1,14264543000,1,0,0,6913266000,0
2856,15693203,BADARUDIN,710,Jawa Barat,Laki-Laki,75,5,0,2,1,1,937689000,0
2857,15813067,GLORIA SANTOSO,432,Jawa Tengah,Perempuan,45,3,11021914000,1,1,0,430467000,1
2858,15769829,JOVINUS CAROLUS LEGAWA,534,Jawa Barat,Laki-Laki,51,3,0,2,0,1,2085631000,0
2859,15662434,MUHAMMAD SUGIARTO,607,DKI Jakarta,Laki-Laki,25,3,0,2,0,0,18704872000,0
2860,15773503,ANIAR,551,Jawa Barat,Perempuan,32,4,0,2,1,0,5342053000,0
2861,15705890,VITRINE NATALIE PUTURUHU,674,DKI Jakarta,Perempuan,45,7,14207202000,1,1,0,3701329000,0
2862,15711398,EUIS NURHASANAH,525,DKI Jakarta,Perempuan,25,6,0,2,1,0,8956664000,0
2863,15752375,SATIYEM,645,Jawa Tengah,Perempuan,33,8,14956461000,1,0,0,14991384000,0
2864,15659175,YULIANA,755,DKI Jakarta,Perempuan,43,9,0,2,1,0,1806669000,0
2865,15597033,SRI MULYATI,708,Jawa Tengah,Perempuan,37,8,15336613000,1,1,1,2691234000,0
2866,15590228,INTAN NURMALA,715,DKI Jakarta,Perempuan,21,6,7646716000,1,1,1,17351172000,0
2867,15631848,SUSANTI,727,DKI Jakarta,Perempuan,26,9,12150828000,1,1,1,14678544000,0
2868,15654211,MASURI BIN ABDURAHMAN,559,Jawa Barat,Laki-Laki,27,1,0,1,0,1,105033000,0
2869,15707968,LISNA ERAWATI,545,Jawa Barat,Perempuan,36,8,7321112000,2,1,0,8958734000,1
2870,15594084,SUDIYANTO,524,DKI Jakarta,Laki-Laki,22,9,0,2,1,0,7440534000,0
2871,15651093,RIYANANDI PRATAMA,707,DKI Jakarta,Laki-Laki,55,1,0,2,0,1,5440948000,0
2872,15798824,ERWIN WIDYA KIRANA,671,Jawa Barat,Laki-Laki,38,0,9267494000,2,1,0,364757000,0
2873,15671591,YENNY SETYAWATI WANATIRTA,439,Jawa Barat,Perempuan,52,3,9619624000,4,1,0,19887452000,1
2874,15707189,FEBY RIZTIANA,667,Jawa Tengah,Perempuan,36,1,11439162000,1,1,1,5341254000,0
2875,15733581,AGUS BASUNI,831,Jawa Tengah,Laki-Laki,32,9,8026266000,1,1,0,19486778000,0
2876,15641640,ANDRY DWI WIJATMOKO,545,Jawa Barat,Laki-Laki,33,7,17333152000,1,1,0,15045288000,0
2877,15585284,ALI TOPAN,604,Jawa Barat,Laki-Laki,35,7,14728552000,1,1,1,5780705000,0
2878,15617866,H SATIRI BIN H MUSANIP,657,Jawa Barat,Laki-Laki,67,5,11978547000,2,1,1,10753432000,0
2879,15667751,INDRI CHRISTANTO,487,Jawa Barat,Laki-Laki,36,1,14013715000,1,1,0,19407333000,0
2880,15669411,SUTRISNO TJAHJADIN,750,Jawa Tengah,Laki-Laki,52,6,10746756000,1,1,0,12623318000,1
2881,15789425,AGUS WIDODO,694,Jawa Tengah,Laki-Laki,37,8,9821804000,2,1,0,18235446000,1
2882,15570943,EVI YULIANA,711,Jawa Tengah,Perempuan,35,2,13360775000,1,1,1,12058632000,0
2883,15685829,SUHARDI,551,DKI Jakarta,Laki-Laki,37,3,0,2,1,1,505784000,0
2884,15721917,RIENOVI SEPTIANI,559,DKI Jakarta,Perempuan,38,8,9513941000,1,1,1,8657546000,0
2885,15776047,SUSILAH,620,DKI Jakarta,Perempuan,29,3,0,2,0,1,15339228000,0
2886,15716024,SOHEBUL ANAM,660,Jawa Barat,Laki-Laki,42,5,0,2,1,0,11550959000,0
2887,15675328,NOOR SHOFURO,449,DKI Jakarta,Perempuan,37,6,0,2,1,0,8217648000,0
2888,15604314,TUTY INDRAWATI,703,Jawa Tengah,Perempuan,26,1,9733119000,1,1,0,6371749000,0
2889,15658339,SITI ZULAEHA,795,Jawa Tengah,Perempuan,37,2,13926563000,2,1,1,19874594000,0
2890,15630402,ROBY SUSANTO,594,DKI Jakarta,Laki-Laki,31,9,0,1,0,1,571911000,0
2891,15689616,HAPPY HERAWATI B,586,Jawa Barat,Perempuan,34,5,16809401000,1,0,0,2005861000,0
2892,15774224,SRI NURANI SETIAWATI,613,Jawa Tengah,Perempuan,30,5,13156388000,2,1,0,17063898000,0
2893,15701291,SRI SETIANI,601,DKI Jakarta,Perempuan,44,3,0,2,1,0,3060711000,0
2894,15719606,ABDUL AZIS,657,DKI Jakarta,Laki-Laki,50,9,0,2,0,0,3717146000,0
2895,15644119,SUMARDI,531,DKI Jakarta,Laki-Laki,31,3,0,1,1,1,4258933000,0
2896,15646859,MAI SAROAH,621,Jawa Tengah,Perempuan,47,7,10736329000,1,1,1,6679928000,0
2897,15606836,EDI CANDRA,782,DKI Jakarta,Laki-Laki,33,2,9449303000,1,0,1,10186639000,0
2898,15664150,ROBIKA,528,Jawa Tengah,Laki-Laki,29,9,17021423000,2,1,0,49284000,0
2899,15624510,HELMY MACHFUD,696,DKI Jakarta,Laki-Laki,52,6,13978106000,1,1,0,274454000,1
2900,15810944,TJIA GIOK TJENG,586,DKI Jakarta,Perempuan,35,7,0,2,1,0,7076069000,0
2901,15668575,HASBI,626,Jawa Barat,Laki-Laki,26,8,14861041000,3,0,1,10450202000,1
2902,15603246,NUR AL DINI,498,DKI Jakarta,Perempuan,73,2,1702417000,2,1,1,16540796000,0
2903,15804002,NUR WANDA HARI,691,DKI Jakarta,Laki-Laki,33,1,12830683000,1,1,1,11358079000,0
2904,15728773,LIEM GIEN HWA,568,DKI Jakarta,Perempuan,47,7,0,2,1,1,4597839000,0
2905,15598044,ZAINUDDIN,715,DKI Jakarta,Laki-Laki,35,3,0,1,1,1,15201236000,0
2906,15694829,DENNISON MORIANA LOPUTRA,680,Jawa Tengah,Laki-Laki,32,7,175454000,1,0,1,7734992000,0
2907,15600575,RACHMI FADILLA,802,Jawa Barat,Perempuan,41,6,0,2,1,0,4732205000,0
2908,15727311,NOVA WULANSARI,539,DKI Jakarta,Perempuan,22,0,10088593000,2,1,1,3877265000,0
2909,15570769,MOHAMAD NUR,494,DKI Jakarta,Laki-Laki,69,9,933208000,1,1,1,2448944000,0
2910,15606274,MARIMIN,594,Jawa Tengah,Perempuan,38,6,6317644000,2,1,1,1446608000,0
2911,15746139,KOMARIYAH,596,DKI Jakarta,Perempuan,33,2,13945167000,1,0,0,6314212000,0
